parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 09505 0057,county_only,CITY OF DAYTON,DEARBORN AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 09509 0016,both,DAYTON CITY OF,2604 GERMANTOWN ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002320.00,000000000000.00,N,Public Works,Other,Y,39113-004100-2,39.73948774754459,-84.2369930337404
R72 09509 0017,both,DAYTON CITY OF,2604 GERMANTOWN ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000003240.00,000000000000.00,N,Public Works,Other,Y,39113-004100-2,39.73953250224965,-84.2368724840198
R72 09601 0035,both,DAYTON CITY OF,HILARY AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001470.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-3,39.745157720050976,-84.23673311220332
R72 09604 0026,both,CITY OF DAYTON,20 EDDIE ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001260.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-3,39.74428018976502,-84.2328713777358
R72 09607 0010,both,CITY OF DAYTON,537 MARTHA AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000800.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-3,39.743779627868044,-84.23315672731907
R72 09608 0004,both,DAYTON CITY OF,2501 LAKEVIEW AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002010.00,000000000000.00,N,,,Y,39113-004200-3,39.74150634732329,-84.23639106904143
R72 09609 0038,both,DAYTON CITY OF,823 CLIFTON DR,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001560.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-3,39.741171492891894,-84.23420454782013
R72 09610 0017,both,CITY OF DAYTON,2327 GERMANTOWN ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002010.00,000000000000.00,N,,,Y,39113-004200-3,39.74137442186797,-84.23311273209943
R72 09611 0017,both,DAYTON CITY OF,GERMANTOWN ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000000000.00,000000000000.00,N,,,Y,39113-004100-2,39.73984189344925,-84.23652260354608
R72 09611A0004,both,DAYTON CITY OF,2400 GERMANTOWN ST,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,Economic Development,Development,Y,39113-004100-2,39.740843404517165,-84.23381963081043
R72 09703 0004,city_layer_only,,,,,,,,,,N,Economic Development,Development,Y,,39.74580455319725,-84.22709775396068
R72 09703 0005,city_layer_only,,,,,,,,,,N,Economic Development,Development,Y,,39.74555783206004,-84.22434598109204
R72 09703 0006,city_layer_only,,,,,,,,,,N,Economic Development,Development,Y,,39.745365241389315,-84.2222564681553
R72 09705 0001,both,DAYTON CITY OF,LAKEVIEW AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002680.00,000000000000.00,N,Public Works,Other,Y,39113-004100-1,39.74247860425537,-84.23194070410099
R72 09708 0006,county_only,"DAYTON CITY OF, OHIO",721 CLEMENT AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002140.00,000000000000.00,N,,,Y,39113-004100-1,39.74381875634752,-84.22732238765137
R72 09709 0023,both,DAYTON CITY OF,1868 LAKEVIEW AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002450.00,000000000000.00,N,Economic Development,Development,Y,39113-004100-1,39.744684920252425,-84.22603413238559
R72 09709 0024,both,DAYTON CITY OF,LAKEVIEW AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002430.00,000000000000.00,N,Economic Development,Development,Y,39113-004100-1,39.74476927510036,-84.22594700075636
R72 09709 0027,both,DAYTON CITY OF,LAKEVIEW AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002210.00,000000000000.00,N,Economic Development,Development,Y,39113-004100-1,39.74480890744169,-84.225437940455
R72 09709 0033,both,DAYTON CITY OF,1869 GERMANTOWN ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002460.00,000000000000.00,N,Economic Development,Development,Y,39113-004100-1,39.74410068607388,-84.22580841372425
R72 09709 0034,both,DAYTON CITY OF,GERMANTOWN ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002450.00,000000000000.00,N,Economic Development,Development,Y,39113-004100-1,39.74427234480307,-84.22577795938246
R72 09802 0007,both,CITY OF DAYTON,1621 1645 TAMPA AVE,DAYTON,400,Commercial vacant land,C,0001.21900,000000020610.00,000000000000.00,N,Public Works,Other,Y,39113-004100-1,39.74062046852473,-84.22374332921494
R72 09804 0011,both,CITY OF DAYTON,1320 TRIESCHMAN AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000004950.00,000000000000.00,N,,,Y,39113-004100-2,39.738934144892006,-84.22420893315879
R72 09804 0032,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.739249836008774,-84.22340356220151
R72 09804 0036,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.739253169861016,-84.22299107516551
R72 09805 0001,both,CITY OF DAYTON,TRIESCHMAN AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000005000.00,000000000000.00,N,,,Y,39113-004100-2,39.73869134965213,-84.22422199491625
R72 09805 0013,both,CITY OF DAYTON,ROOSEVELT AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000004950.00,000000000000.00,N,,,Y,39113-004100-2,39.73858591423381,-84.22373567116111
R72 09807 0019,both,CITY OF DAYTON,838 S EUCLID AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001730.00,000000000000.00,N,Public Works,Other,Y,39113-003500-1,39.74497256863044,-84.22012869375641
R72 09807 0048,both,CITY OF DAYTON,CONNERS ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001970.00,000000000000.00,N,,,Y,39113-003500-1,39.74502500096424,-84.21933536040125
R72 09807 0049,both,CITY OF DAYTON,CONNERS ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001960.00,000000000000.00,N,,,Y,39113-003500-1,39.744931663896125,-84.21933419142924
R72 09807 0050,both,CITY OF DAYTON,846 CONNERS ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001960.00,000000000000.00,N,,,Y,39113-003500-1,39.74483318365434,-84.21941198570579
R72 09807 0077,both,DAYTON CITY OF,913 915 REIST AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001970.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-1,39.74376867967153,-84.21886675153026
