parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 07108 0007,both,DAYTON CITY OF,FAIRVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000014680.00,000000007800.00,Y,Public Works,Other,N,39113-000802-2,39.78456962193085,-84.21105763542401
R72 07108 0027,both,CITY OF DAYTON,16 18 W NORMAN AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000006560.00,000000000000.00,N,Public Works,Other,Y,39113-000802-2,39.78369107986364,-84.21048438964958
R72 07108 0028,both,CITY OF DAYTON,18 W NORMAN AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000002630.00,000000000000.00,N,,,Y,39113-000802-2,39.78340547414859,-84.21029062830246
R72 07108 0070,both,CITY OF DAYTON,2109 N MAIN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000017460.00,000000000000.00,N,Planning,Surplus,Y,39113-000802-2,39.78301619617714,-84.20946741196734
R72 07109 0016,both,CITY OF DAYTON,8 10 HUDSON AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000004370.00,000000000000.00,N,,,N,39113-000802-2,39.782644247331135,-84.20973804890423
R72 07109 0031,both,DAYTON CITY OF,29 MARATHON AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000008450.00,000000011850.00,Y,Public Works,Other,N,39113-000802-2,39.78204802546234,-84.20961840152889
R72 07201 0001,county_only,DAYTON CITY OF,1632 SALEM AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001350.00,000000000000.00,N,,,N,39113-000500-5,39.779332584515736,-84.22140582078029
R72 07201 0018,both,DAYTON CITY OF,1612 14 SALEM AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000005130.00,000000000000.00,N,,,Y,39113-000500-5,39.77910699140917,-84.22103971170353
R72 07201 0031,county_only,CITY OF DAYTON,1020 CUMBERLAND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000004280.00,000000000000.00,N,,,N,39113-000500-5,39.77839117557658,-84.22100538250855
R72 07203 0024,both,CITY OF DAYTON,1202 KENYON PL,DAYTON,640,"Exempt, owned by municipals",E,0000.10800,000000004490.00,000000000000.00,N,Planning,Surplus,Y,39113-000600-2,39.77570339594085,-84.21855118915683
R72 07304 0018,county_only,DAYTON CITY OF,SALEM AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00140,000000000000.00,000000000000.00,N,,,Y,,,
R72 07304 0019,county_only,DAYTON CITY OF,SALEM AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00110,000000000000.00,000000000000.00,N,,,Y,,,
R72 07305 0014,both,CITY OF DAYTON,AMHERST PL,DAYTON,620,"Exempt, owned by counties",E,0000.00000,000000004340.00,000000000520.00,Y,Public Works,Other,N,39113-000600-2,39.771376800674425,-84.21719986025317
R72 07305 0017,both,CITY OF DAYTON,AMHERST PL,DAYTON,620,"Exempt, owned by counties",E,0000.00000,000000003140.00,000000000000.00,N,Public Works,Other,N,39113-000600-2,39.77120804349087,-84.21711729295278
R72 07305 0018,both,CITY OF DAYTON,AMHERST PL,DAYTON,620,"Exempt, owned by counties",E,0000.00000,000000010740.00,000000000000.00,N,Public Works,Other,N,39113-000600-2,39.77162668069137,-84.21681381236273
R72 07307 0020,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.770658374471246,-84.21318896094569
R72 07308 0024,both,DAYTON CITY OF,622 SALEM AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000012960.00,000000000000.00,N,,,N,39113-001000-1,39.769690947845916,-84.21231122598715
R72 07308 0025,both,DAYTON CITY OF,616 SALEM AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000016200.00,000000000000.00,N,,,N,39113-001000-1,39.769582006322224,-84.21225159166153
R72 07401 0037,county_only,DAYTON CITY OF,SALEM & LEXINGTON,DAYTON,400,Commercial vacant land,C,0000.00020,000000000000.00,000000000000.00,N,,,Y,,,
R72 07402 0036,both,DAYTON CITY OF,1021 BROADWAY ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001860.00,000000000000.00,N,,,Y,39113-000700-4,39.767671737169366,-84.21538207858326
R72 07403 0017,both,DAYTON CITY OF,903 N BROADWAY ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001840.00,000000000000.00,N,,,N,39113-000700-4,39.76581837276341,-84.21556414922598
R72 07403 0018,both,DAYTON CITY OF,903 N BROADWAY ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001840.00,000000000000.00,N,,,N,39113-000700-4,39.7657200875779,-84.21554305737114
R72 07405 0053,both,CITY OF DAYTON,GEORGEANA CT,DAYTON,400,Commercial vacant land,C,0000.00000,000000000950.00,000000000000.00,N,,,Y,39113-001000-1,39.76638240173614,-84.2099905481432
R72 07405 0057,both,DAYTON CITY OF,SALEM AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.12990,000000013580.00,000000000000.00,N,Public Works,Other,N,39113-001000-1,39.767059488285454,-84.20993735159743
R72 07405 0058,both,DAYTON CITY OF,424 SALEM AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.12990,000000013580.00,000000000000.00,N,Public Works,Other,N,39113-001000-1,39.76697295901005,-84.20984626933763
R72 07405 0093,county_only,DAYTON CITY OF,SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.01560,000000000000.00,000000000000.00,N,,,Y,,,
R72 07405 0094,county_only,DAYTON CITY OF,SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.00180,000000000000.00,000000000000.00,N,,,Y,,,
R72 07405 0095,county_only,DAYTON CITY OF,438 SALEM & GRAND,DAYTON,400,Commercial vacant land,C,0000.00390,000000000000.00,000000000000.00,N,,,Y,,,
R72 07405 0096,county_only,DAYTON CITY OF,402 404 SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.00150,000000000000.00,000000000000.00,N,,,Y,,,
R72 07405 0097,county_only,DAYTON CITY OF,418 SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.01940,000000000000.00,000000000000.00,N,,,Y,,,
R72 07406 0048,both,CITY OF DAYTON,200 AUDUBON PARK,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000010260.00,000000000000.00,N,Planning,Surplus,Y,39113-001000-2,39.76448887167628,-84.21260321747395
R72 07408 0004,both,DAYTON CITY OF,SUPERIOR & SALEM,DAYTON,640,"Exempt, owned by municipals",E,0001.25500,000000131200.00,000001064900.00,Y,Public Works,Other,N,39113-001000-2,39.76537128767083,-84.20921187416275
R72 07408 0037,county_only,DAYTON CITY OF,SUPERIOR & SALEM,DAYTON,400,Commercial vacant land,C,0000.03100,000000000000.00,000000000000.00,N,,,Y,,,
R72 07408 0038,county_only,DAYTON CITY OF,250 SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.04500,000000000000.00,000000000000.00,N,,,Y,,,
R72 07408 0039,county_only,DAYTON CITY OF,184 SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.00340,000000000000.00,000000000000.00,N,,,Y,,,
R72 07409 0057,county_only,CITY OF DAYTON,164 SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.00300,000000000000.00,000000000000.00,N,,,Y,,,
R72 07412 0006,county_only,DAYTON CITY OF,422 EDGEWOOD AVE,DAYTON,620,"Exempt, owned by counties",E,0000.00000,000000004980.00,000000000000.00,N,,,N,39113-001000-2,39.76361382105573,-84.21348186675547
R72 07501 0017,both,CITY OF DAYTON,325 327 MIDDLE ST,DAYTON,613,Exempt land only,E,0000.00000,000000001700.00,000000000000.00,N,,,N,39113-001000-2,39.761455835099795,-84.21009855624696
R72 07501 0044,both,DAYTON CITY OF,426 WILLIAMS ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000660.00,000000000000.00,N,,,N,39113-001000-2,39.76168055062334,-84.21060541513337
R72 07503 0058,both,DAYTON CITY OF,CHICAGO AVE,DAYTON,640,"Exempt, owned by municipals",E,0001.16200,000000002860.00,000000003450.00,Y,,,N,39113-001000-2,39.76114313322851,-84.20630551593334
R72 07504 0001,both,DAYTON CITY OF,RIVERVIEW TER,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000009860.00,000000000000.00,N,Public Works,Other,N,39113-001000-2,39.76192154263808,-84.20583720422616
R72 07504 0006,both,DAYTON CITY OF,RIVERVIEW TER,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000110.00,000000000000.00,N,Public Works,Other,N,39113-001000-2,39.76216774528192,-84.20554970458112
